"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: adrenal gland, brain, pituitary gland",1,1,"1-Group enriched: adrenal gland, brain, pituitary gland","75%-25%","Deep"
"2","Group enriched: brain, choroid plexus",1,2,"2-Group enriched: brain, choroid plexus","75%-25%","Deep"
"3","Group enriched: brain, gallbladder",1,3,"3-Group enriched: brain, gallbladder","75%-25%","Deep"
"4","Group enriched: brain, retina",1,4,"4-Group enriched: brain, retina","75%-25%","Deep"
"5","Group enriched: breast, pituitary gland, salivary gland, stomach 1",1,5,"5-Group enriched: breast, pituitary gland, salivary gland, stomach 1","75%-25%","Deep"
"6","Group enriched: esophagus, lung, salivary gland, stomach 1",1,6,"6-Group enriched: esophagus, lung, salivary gland, stomach 1","75%-25%","Deep"
"7","Group enriched: esophagus, vagina",1,7,"7-Group enriched: esophagus, vagina","75%-25%","Deep"
"8","Group enriched: intestine, liver",2,8,"8-Group enriched: intestine, liver","75%-25%","Deep"
"9","Group enriched: intestine, lymphoid tissue",1,9,"9-Group enriched: intestine, lymphoid tissue","75%-25%","Deep"
"10","Group enriched: intestine, pancreas",1,10,"10-Group enriched: intestine, pancreas","75%-25%","Deep"
"11","Group enriched: kidney, pancreas, skeletal muscle",1,11,"11-Group enriched: kidney, pancreas, skeletal muscle","75%-25%","Deep"
"12","Group enriched: kidney, thyroid gland",1,12,"12-Group enriched: kidney, thyroid gland","75%-25%","Deep"
"13","Low tissue specificity",35,13,"13-Low tissue specificity","75%-25%","Deep"
"14","Tissue enhanced: adipose tissue",1,14,"14-Tissue enhanced: adipose tissue","75%-25%","Deep"
"15","Tissue enhanced: adipose tissue, heart muscle",1,15,"15-Tissue enhanced: adipose tissue, heart muscle","75%-25%","Deep"
"16","Tissue enhanced: adrenal gland",1,16,"16-Tissue enhanced: adrenal gland","75%-25%","Deep"
"17","Tissue enhanced: adrenal gland, brain, pancreas",1,17,"17-Tissue enhanced: adrenal gland, brain, pancreas","75%-25%","Deep"
"18","Tissue enhanced: adrenal gland, liver, pancreas",1,18,"18-Tissue enhanced: adrenal gland, liver, pancreas","75%-25%","Deep"
"19","Tissue enhanced: bone marrow",1,19,"19-Tissue enhanced: bone marrow","75%-25%","Deep"
"20","Tissue enhanced: bone marrow, lung, lymphoid tissue",2,20,"20-Tissue enhanced: bone marrow, lung, lymphoid tissue","75%-25%","Deep"
"21","Tissue enhanced: bone marrow, lymphoid tissue",5,21,"21-Tissue enhanced: bone marrow, lymphoid tissue","75%-25%","Deep"
"22","Tissue enhanced: brain",5,22,"22-Tissue enhanced: brain","75%-25%","Deep"
"23","Tissue enhanced: brain, liver",1,23,"23-Tissue enhanced: brain, liver","75%-25%","Deep"
"24","Tissue enhanced: brain, pancreas",1,24,"24-Tissue enhanced: brain, pancreas","75%-25%","Deep"
"25","Tissue enhanced: brain, pancreas, pituitary gland",1,25,"25-Tissue enhanced: brain, pancreas, pituitary gland","75%-25%","Deep"
"26","Tissue enhanced: brain, parathyroid gland",1,26,"26-Tissue enhanced: brain, parathyroid gland","75%-25%","Deep"
"27","Tissue enhanced: brain, pituitary gland",1,27,"27-Tissue enhanced: brain, pituitary gland","75%-25%","Deep"
"28","Tissue enhanced: brain, retina",1,28,"28-Tissue enhanced: brain, retina","75%-25%","Deep"
"29","Tissue enhanced: breast, fallopian tube, pancreas",1,29,"29-Tissue enhanced: breast, fallopian tube, pancreas","75%-25%","Deep"
"30","Tissue enhanced: cervix, gallbladder",1,30,"30-Tissue enhanced: cervix, gallbladder","75%-25%","Deep"
"31","Tissue enhanced: cervix, lymphoid tissue",1,31,"31-Tissue enhanced: cervix, lymphoid tissue","75%-25%","Deep"
"32","Tissue enhanced: cervix, retina",1,32,"32-Tissue enhanced: cervix, retina","75%-25%","Deep"
"33","Tissue enhanced: cervix, salivary gland",1,33,"33-Tissue enhanced: cervix, salivary gland","75%-25%","Deep"
"34","Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle",1,34,"34-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","75%-25%","Deep"
"35","Tissue enhanced: endometrium 1, smooth muscle",1,35,"35-Tissue enhanced: endometrium 1, smooth muscle","75%-25%","Deep"
"36","Tissue enhanced: esophagus, lymphoid tissue, vagina",1,36,"36-Tissue enhanced: esophagus, lymphoid tissue, vagina","75%-25%","Deep"
"37","Tissue enhanced: gallbladder",1,37,"37-Tissue enhanced: gallbladder","75%-25%","Deep"
"38","Tissue enhanced: intestine",1,38,"38-Tissue enhanced: intestine","75%-25%","Deep"
"39","Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder",1,39,"39-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","75%-25%","Deep"
"40","Tissue enhanced: intestine, salivary gland",1,40,"40-Tissue enhanced: intestine, salivary gland","75%-25%","Deep"
"41","Tissue enhanced: kidney, thyroid gland",1,41,"41-Tissue enhanced: kidney, thyroid gland","75%-25%","Deep"
"42","Tissue enhanced: liver",1,42,"42-Tissue enhanced: liver","75%-25%","Deep"
"43","Tissue enhanced: liver, pancreas",1,43,"43-Tissue enhanced: liver, pancreas","75%-25%","Deep"
"44","Tissue enhanced: lung",2,44,"44-Tissue enhanced: lung","75%-25%","Deep"
"45","Tissue enhanced: lung, lymphoid tissue, skin 1",1,45,"45-Tissue enhanced: lung, lymphoid tissue, skin 1","75%-25%","Deep"
"46","Tissue enhanced: lymphoid tissue",6,46,"46-Tissue enhanced: lymphoid tissue","75%-25%","Deep"
"47","Tissue enhanced: lymphoid tissue, placenta",1,47,"47-Tissue enhanced: lymphoid tissue, placenta","75%-25%","Deep"
"48","Tissue enhanced: lymphoid tissue, smooth muscle",1,48,"48-Tissue enhanced: lymphoid tissue, smooth muscle","75%-25%","Deep"
"49","Tissue enhanced: ovary, pancreas",1,49,"49-Tissue enhanced: ovary, pancreas","75%-25%","Deep"
"50","Tissue enhanced: parathyroid gland, testis",1,50,"50-Tissue enhanced: parathyroid gland, testis","75%-25%","Deep"
"51","Tissue enhanced: placenta",3,51,"51-Tissue enhanced: placenta","75%-25%","Deep"
"52","Tissue enhanced: retina",1,52,"52-Tissue enhanced: retina","75%-25%","Deep"
"53","Tissue enhanced: skeletal muscle",1,53,"53-Tissue enhanced: skeletal muscle","75%-25%","Deep"
"54","Tissue enhanced: skin 1",1,54,"54-Tissue enhanced: skin 1","75%-25%","Deep"
"55","Tissue enhanced: tongue",1,55,"55-Tissue enhanced: tongue","75%-25%","Deep"
"56","Tissue enriched: bone marrow",4,56,"56-Tissue enriched: bone marrow","75%-25%","Deep"
"57","Tissue enriched: heart muscle",1,57,"57-Tissue enriched: heart muscle","75%-25%","Deep"
"58","Tissue enriched: kidney",1,58,"58-Tissue enriched: kidney","75%-25%","Deep"
"59","Tissue enriched: liver",3,59,"59-Tissue enriched: liver","75%-25%","Deep"
"60","Tissue enriched: lymphoid tissue",6,60,"60-Tissue enriched: lymphoid tissue","75%-25%","Deep"
"61","Tissue enriched: pancreas",3,61,"61-Tissue enriched: pancreas","75%-25%","Deep"
"62","Tissue enriched: placenta",1,62,"62-Tissue enriched: placenta","75%-25%","Deep"
"63","Tissue enriched: retina",1,63,"63-Tissue enriched: retina","75%-25%","Deep"
"64","Tissue enriched: skin 1",1,64,"64-Tissue enriched: skin 1","75%-25%","Deep"
"65","Tissue enriched: stomach 1",1,65,"65-Tissue enriched: stomach 1","75%-25%","Deep"
"66","Tissue enriched: testis",1,66,"66-Tissue enriched: testis","75%-25%","Deep"
"67","Tissue enriched: thyroid gland",1,67,"67-Tissue enriched: thyroid gland","75%-25%","Deep"
