,Model,Proportion,HL,Prec,Rec,F1,Jac
0,MLKNN,75_25,0.001577287066246,1.0,0.7933753943217665,0.7933753943217665,0.7933753943217665
1,HARAM,75_25,0.0405165615141955,0.3834167469838564,0.8107255520504731,0.3220360326939571,0.3219023526869291
2,BR_MultinomialNB,75_25,0.001577287066246,1.0,0.7933753943217665,0.7933753943217665,0.7933753943217665
3,Label Powerset GradientBooster,75_25,0.0031545741324921,0.995268138801262,0.7933753943217665,0.7902208201892744,0.7902208201892744
4,ClassifierChain,75_25,0.0031107606028741,0.996868285100352,0.7949526813880127,0.7918431726002705,0.7918209664883646
5,Label Powerset SVC,75_25,0.0031545741324921,0.996845425867508,0.7933753943217665,0.7917981072555205,0.7917981072555205
6,RandomForest,75_25,0.001577287066246,1.0,0.7933753943217665,0.7933753943217665,0.7933753943217665
7,DecisionTree,75_25,0.001577287066246,1.0,0.7933753943217665,0.7933753943217665,0.7933753943217665
8,SVM,75_25,0.3185462670872765,0.6551586015136968,0.8667192429022083,0.5311276242326877,0.5305526613664195
9,BR_kNN,75_25,0.001577287066246,1.0,0.7933753943217665,0.7933753943217665,0.7933753943217665
10,RakelD,75_25,0.1826805117420259,0.7069022082018928,0.8272870662460567,0.5462919264429487,0.5460188272995844
0,Deep,75_25,0.0015772870974615216,0.7933753943217665,1.0,0.7933753943217665,0.7933753943217665
